Study,SampleName,location,age_months,lifestyle,study_accession,BioSample,NCBI_SampleName,SRA
Ayeni2018,BC1,Nigeria (Bassa),,Non-industrialized,,,,
Ayeni2018,BC10,Nigeria (Bassa),,Non-industrialized,,,,
Ayeni2018,BC2,Nigeria (Bassa),,Non-industrialized,,,,
Ayeni2018,BC3,Nigeria (Bassa),,Non-industrialized,,,,
Ayeni2018,BC4,Nigeria (Bassa),,Non-industrialized,,,,
Ayeni2018,BC5,Nigeria (Bassa),,Non-industrialized,,,,
Ayeni2018,BC6,Nigeria (Bassa),,Non-industrialized,,,,
Ayeni2018,BC7,Nigeria (Bassa),,Non-industrialized,,,,
Ayeni2018,BC8,Nigeria (Bassa),,Non-industrialized,,,,
Ayeni2018,UC11,Nigeria (Urban),24,Transitional,,,,
Ayeni2018,UC12,Nigeria (Urban),28.8,Transitional,,,,
Ayeni2018,UC13,Nigeria (Urban),24,Transitional,,,,
Ayeni2018,UC14,Nigeria (Urban),28.8,Transitional,,,,
Ayeni2018,UC16,Nigeria (Urban),26.4,Transitional,,,,
Ayeni2018,UC17,Nigeria (Urban),12,Transitional,,,,
Ayeni2018,UC18,Nigeria (Urban),20.4,Transitional,,,,
Ayeni2018,UC19,Nigeria (Urban),20.4,Transitional,,,,
Ayeni2018,UC20,Nigeria (Urban),20.4,Transitional,,,,
Ayeni2018,UC21,Nigeria (Urban),34.8,Transitional,,,,
Ayeni2018,UC22,Nigeria (Urban),14.4,Transitional,,,,
Ayeni2018,UC24,Nigeria (Urban),34.8,Transitional,,,,
Vatenan2016,G72802,Russia (Karelia),18.41666667,Transitional,,,,
Vatenan2016,G72804,Russia (Karelia),17.75,Transitional,,,,
Vatenan2016,G72832,Russia (Karelia),24.58333333,Transitional,,,,
Vatenan2016,G72837,Russia (Karelia),17.08333333,Transitional,,,,
Vatenan2016,G72846,Russia (Karelia),16.25,Transitional,,,,
Vatenan2016,G72850,Russia (Karelia),25.33333333,Transitional,,,,
Vatenan2016,G72877,Russia (Karelia),26.58333333,Transitional,,,,
Vatenan2016,G72882,Russia (Karelia),13.16666667,Transitional,,,,
Vatenan2016,G72885,Russia (Karelia),30.58333333,Transitional,,,,
Vatenan2016,G72886,Russia (Karelia),24.08333333,Transitional,,,,
Vatenan2016,G64518,Russia (Karelia),35.58333333,Transitional,,,,
Vatenan2016,G64528,Estonia,21,Industrialized,,,,
Vatenan2016,G64529,Estonia,21.08333333,Industrialized,,,,
Vatenan2016,G64533,Estonia,18.66666667,Industrialized,,,,
Vatenan2016,G64534,Estonia,18.83333333,Industrialized,,,,
Vatenan2016,G64538,Finland,28.66666667,Industrialized,,,,
Vatenan2016,G64540,Finland,26.91666667,Industrialized,,,,
Vatenan2016,G64546,Estonia,9.166666667,Industrialized,,,,
Vatenan2016,G64550,Estonia,16.58333333,Industrialized,,,,
Vatenan2016,G64568,Russia (Karelia),22.83333333,Transitional,,,,
Vatenan2016,G64598,Russia (Karelia),34.16666667,Transitional,,,,
Vatenan2016,G64601,Russia (Karelia),30.83333333,Transitional,,,,
Vatenan2016,G64730,Estonia,20.5,Industrialized,,,,
Vatenan2016,G64731,Estonia,30.66666667,Industrialized,,,,
Vatenan2016,G64744,Finland,12.16666667,Industrialized,,,,
Vatenan2016,G64761,Estonia,34.33333333,Industrialized,,,,
Vatenan2016,G64769,Estonia,6.75,Industrialized,,,,
Vatenan2016,G64770,Estonia,31.08333333,Industrialized,,,,
Vatenan2016,G64772,Estonia,20.58333333,Industrialized,,,,
Vatenan2016,G64773,Finland,13,Industrialized,,,,
Vatenan2016,G64777,Finland,24.75,Industrialized,,,,
Vatenan2016,G64784,Finland,28.08333333,Industrialized,,,,
Vatenan2016,G64793,Finland,23,Industrialized,,,,
Vatenan2016,G64799,Finland,33.58333333,Industrialized,,,,
Vatenan2016,G64800,Finland,25.66666667,Industrialized,,,,
Vatenan2016,G66668,Estonia,33.25,Industrialized,,,,
Vatenan2016,G66671,Estonia,25.83333333,Industrialized,,,,
Vatenan2016,G65360,Russia (Karelia),17.83333333,Transitional,,,,
Vatenan2016,G65363,Russia (Karelia),16.41666667,Transitional,,,,
Vatenan2016,G65365,Russia (Karelia),13.25,Transitional,,,,
Vatenan2016,G65406,Estonia,18.75,Industrialized,,,,
Vatenan2016,G65409,Finland,34.08333333,Industrialized,,,,
Vatenan2016,G65517,Estonia,18.41666667,Industrialized,,,,
Vatenan2016,G63244,Russia (Karelia),19.58333333,Transitional,,,,
Vatenan2016,G63245,Russia (Karelia),35.66666667,Transitional,,,,
Vatenan2016,G63275,Finland,8.333333333,Industrialized,,,,
Vatenan2016,G63277,Estonia,5.916666667,Industrialized,,,,
Vatenan2016,G63286,Finland,15.16666667,Industrialized,,,,
Vatenan2016,G63287,Finland,3.166666667,Industrialized,,,,
Vatenan2016,G63288,Estonia,34,Industrialized,,,,
Vatenan2016,G63290,Estonia,31.83333333,Industrialized,,,,
Vatenan2016,G63293,Finland,27.33333333,Industrialized,,,,
Vatenan2016,G63296,Estonia,6.166666667,Industrialized,,,,
Vatenan2016,G63297,Finland,10.16666667,Industrialized,,,,
Vatenan2016,G63298,Estonia,34.16666667,Industrialized,,,,
Vatenan2016,G63299,Estonia,8.416666667,Industrialized,,,,
Vatenan2016,G63300,Estonia,4.083333333,Industrialized,,,,
Vatenan2016,G63304,Estonia,33.83333333,Industrialized,,,,
Vatenan2016,G63323,Finland,33.33333333,Industrialized,,,,
Vatenan2016,G63327,Finland,25.33333333,Industrialized,,,,
Vatenan2016,G63331,Finland,35.91666667,Industrialized,,,,
Vatenan2016,G63345,Estonia,25.58333333,Industrialized,,,,
Vatenan2016,G63347,Estonia,18.08333333,Industrialized,,,,
Vatenan2016,G63353,Estonia,17.5,Industrialized,,,,
Vatenan2016,G63355,Finland,32.66666667,Industrialized,,,,
Vatenan2016,G63386,Russia (Karelia),33.33333333,Transitional,,,,
Vatenan2016,G63400,Russia (Karelia),33.08333333,Transitional,,,,
Vatenan2016,G65970,Russia (Karelia),15.83333333,Transitional,,,,
Vatenan2016,G65972,Russia (Karelia),22.5,Transitional,,,,
Vatenan2016,G66027,Russia (Karelia),17.25,Transitional,,,,
Vatenan2016,G66035,Russia (Karelia),17.83333333,Transitional,,,,
Vatenan2016,G66037,Russia (Karelia),7.583333333,Transitional,,,,
Vatenan2016,G66044,Finland,17.41666667,Industrialized,,,,
Vatenan2016,G66050,Finland,33,Industrialized,,,,
Vatenan2016,G66055,Russia (Karelia),34.08333333,Transitional,,,,
Vatenan2016,G66064,Finland,17.16666667,Industrialized,,,,
Vatenan2016,G66079,Russia (Karelia),10.91666667,Transitional,,,,
Vatenan2016,G66084,Russia (Karelia),10.5,Transitional,,,,
Vatenan2016,G66087,Russia (Karelia),12.83333333,Transitional,,,,
Vatenan2016,G66092,Russia (Karelia),14.5,Transitional,,,,
Vatenan2016,G66100,Russia (Karelia),19.5,Transitional,,,,
Vatenan2016,G66106,Russia (Karelia),18.08333333,Transitional,,,,
Vatenan2016,G66130,Russia (Karelia),20.16666667,Transitional,,,,
Vatenan2016,G66139,Russia (Karelia),32.08333333,Transitional,,,,
Vatenan2016,G66141,Russia (Karelia),33,Transitional,,,,
Vatenan2016,G66735,Finland,30.08333333,Industrialized,,,,
Vatenan2016,G66737,Finland,24.58333333,Industrialized,,,,
Vatenan2016,G66816,Russia (Karelia),15.75,Transitional,,,,
Vatenan2016,G67051,Estonia,16.58333333,Industrialized,,,,
Vatenan2016,G67053,Estonia,26.41666667,Industrialized,,,,
Vatenan2016,G67097,Russia (Karelia),7.666666667,Transitional,,,,
Vatenan2016,G67099,Russia (Karelia),36,Transitional,,,,
Vatenan2016,G67123,Russia (Karelia),11.91666667,Transitional,,,,
Vatenan2016,G67130,Russia (Karelia),11.08333333,Transitional,,,,
Vatenan2016,G67133,Finland,11.16666667,Industrialized,,,,
Vatenan2016,G65812,Russia (Karelia),25.66666667,Transitional,,,,
Vatenan2016,G65842,Russia (Karelia),19,Transitional,,,,
Vatenan2016,G65905,Russia (Karelia),34.58333333,Transitional,,,,
Vatenan2016,G65932,Russia (Karelia),21.66666667,Transitional,,,,
Vatenan2016,G65949,Russia (Karelia),32,Transitional,,,,
Vatenan2016,G64613,Estonia,33.83333333,Industrialized,,,,
Vatenan2016,G64624,Estonia,21.41666667,Industrialized,,,,
Vatenan2016,G64651,Finland,23.25,Industrialized,,,,
Vatenan2016,G64662,Finland,33,Industrialized,,,,
Vatenan2016,G64712,Russia (Karelia),32.58333333,Transitional,,,,
Vatenan2016,G64715,Russia (Karelia),24.66666667,Transitional,,,,
Vatenan2016,G64720,Russia (Karelia),15.83333333,Transitional,,,,
Vatenan2016,G66245,Finland,32.16666667,Industrialized,,,,
Vatenan2016,G66274,Estonia,33.83333333,Industrialized,,,,
Vatenan2016,G66305,Finland,26.66666667,Industrialized,,,,
Vatenan2016,G64838,Finland,35.33333333,Industrialized,,,,
Vatenan2016,G64839,Finland,32,Industrialized,,,,
Vatenan2016,G64843,Finland,33.83333333,Industrialized,,,,
Vatenan2016,G64867,Finland,32.08333333,Industrialized,,,,
Vatenan2016,G64876,Finland,35.75,Industrialized,,,,
Vatenan2016,G64897,Finland,18.66666667,Industrialized,,,,
Vatenan2016,G64900,Finland,27.75,Industrialized,,,,
Vatenan2016,G64901,Finland,25.25,Industrialized,,,,
Vatenan2016,G64904,Finland,27,Industrialized,,,,
Vatenan2016,G64929,Russia (Karelia),30.83333333,Transitional,,,,
Vatenan2016,G64942,Russia (Karelia),16.83333333,Transitional,,,,
Vatenan2016,G64950,Russia (Karelia),17.08333333,Transitional,,,,
Vatenan2016,G64999,Russia (Karelia),17.83333333,Transitional,,,,
Vatenan2016,G65001,Russia (Karelia),30.91666667,Transitional,,,,
Vatenan2016,G66361,Russia (Karelia),19.58333333,Transitional,,,,
Vatenan2016,G66374,Russia (Karelia),18.08333333,Transitional,,,,
Vatenan2016,G66393,Russia (Karelia),24.91666667,Transitional,,,,
Vatenan2016,G66396,Russia (Karelia),30.66666667,Transitional,,,,
Vatenan2016,G66401,Russia (Karelia),26.33333333,Transitional,,,,
Vatenan2016,G73579,Estonia,10.83333333,Industrialized,,,,
Vatenan2016,G73605,Russia (Karelia),28.33333333,Transitional,,,,
Vatenan2016,G73699,Estonia,33.91666667,Industrialized,,,,
Vatenan2016,G73712,Estonia,32.75,Industrialized,,,,
Vatenan2016,G73721,Finland,33.75,Industrialized,,,,
Vatenan2016,G73758,Russia (Karelia),32.58333333,Transitional,,,,
Vatenan2016,G73789,Russia (Karelia),28.66666667,Transitional,,,,
Vatenan2016,G73803,Russia (Karelia),33.41666667,Transitional,,,,
Vatenan2016,G73825,Russia (Karelia),29.5,Transitional,,,,
Vatenan2016,G73843,Russia (Karelia),29.33333333,Transitional,,,,
Vatenan2016,G73713,Russia (Karelia),12,Transitional,,,,
Vatenan2016,G73857,Russia (Karelia),33.08333333,Transitional,,,,
Vatenan2016,G73903,Finland,33.41666667,Industrialized,,,,
Vatenan2016,G73906,Finland,31.83333333,Industrialized,,,,
Vatenan2016,G73918,Russia (Karelia),24.83333333,Transitional,,,,
Vatenan2016,G73921,Russia (Karelia),34.75,Transitional,,,,
Vatenan2016,G73659,Estonia,11.16666667,Industrialized,,,,
Vatenan2016,G73834,Russia (Karelia),35.41666667,Transitional,,,,
Vatenan2016,G74034,Finland,26.16666667,Industrialized,,,,
Vatenan2016,G74037,Finland,24.91666667,Industrialized,,,,
Vatenan2016,G74089,Estonia,18.41666667,Industrialized,,,,
Vatenan2016,G74091,Estonia,33.41666667,Industrialized,,,,
Vatenan2016,G74111,Russia (Karelia),25.25,Transitional,,,,
Vatenan2016,G75701,Estonia,3.666666667,Industrialized,,,,
Vatenan2016,G75703,Estonia,11.33333333,Industrialized,,,,
Vatenan2016,G75704,Estonia,3.5,Industrialized,,,,
Vatenan2016,G75710,Finland,13.25,Industrialized,,,,
Vatenan2016,G75712,Finland,9.916666667,Industrialized,,,,
Vatenan2016,G75714,Finland,9.25,Industrialized,,,,
Vatenan2016,G75722,Estonia,3.416666667,Industrialized,,,,
Vatenan2016,G75729,Estonia,18,Industrialized,,,,
Vatenan2016,G75733,Finland,28.58333333,Industrialized,,,,
Vatenan2016,G75740,Estonia,5,Industrialized,,,,
Vatenan2016,G75758,Estonia,24.58333333,Industrialized,,,,
Vatenan2016,G75772,Estonia,10.91666667,Industrialized,,,,
Vatenan2016,G75780,Estonia,3.666666667,Industrialized,,,,
Vatenan2016,G75804,Estonia,25.58333333,Industrialized,,,,
Vatenan2016,G75806,Finland,9.416666667,Industrialized,,,,
Vatenan2016,G75810,Estonia,12.5,Industrialized,,,,
Vatenan2016,G75815,Estonia,9.083333333,Industrialized,,,,
Vatenan2016,G75816,Estonia,13.75,Industrialized,,,,
Vatenan2016,G75823,Finland,10.91666667,Industrialized,,,,
Vatenan2016,G75824,Finland,9.083333333,Industrialized,,,,
Vatenan2016,G75826,Estonia,6,Industrialized,,,,
Vatenan2016,G75827,Estonia,8.833333333,Industrialized,,,,
Vatenan2016,G75829,Estonia,5.083333333,Industrialized,,,,
Vatenan2016,G75830,Estonia,2.25,Industrialized,,,,
Vatenan2016,G75832,Estonia,4.666666667,Industrialized,,,,
